"index","job_title","salary_estimate","rating","company_name","location","headquarters","workforce","founded","type_of_ownership","industry","sector","revenue","state"
0,"Sr Data Scientist","$137K-$171K ","3.1","Healthfirst
","New York, NY","New York, NY","1001 to 5000 ",1993,"Nonprofit Organization","Insurance Carriers","Insurance","Unknown / Non-Applicable","NY"
1,"Data Scientist","$137K-$171K ","4.2","ManTech
","Chantilly, VA","Herndon, VA","5001 to 10000 ",1968,"Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)","VA"
2,"Data Scientist","$137K-$171K ","3.8","Analysis Group
","Boston, MA","Boston, MA","1001 to 5000 ",1981,"Private Practice / Firm","Consulting","Business Services","$100 to $500 million (USD)","MA"
3,"Data Scientist","$137K-$171K ","3.5","INFICON
","Newton, MA","Bad Ragaz, Switzerland","501 to 1000 ",2000,"Company - Public","Electrical & Electronic Manufacturing","Manufacturing","$100 to $500 million (USD)","MA"
4,"Data Scientist","$137K-$171K ","2.9","Affinity Solutions
","New York, NY","New York, NY","51 to 200 ",1998,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","NY"
5,"Data Scientist","$137K-$171K ","4.2","HG Insights
","Santa Barbara, CA","Santa Barbara, CA","51 to 200 ",2010,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","CA"
6,"Data Scientist / Machine Learning Expert","$137K-$171K ","3.9","Novartis
","Cambridge, MA","Basel, Switzerland","10000+ ",1996,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","MA"
7,"Data Scientist","$137K-$171K ","3.5","iRobot
","Bedford, MA","Bedford, MA","1001 to 5000 ",1990,"Company - Public","Consumer Electronics & Appliances Stores","Retail","$1 to $2 billion (USD)","MA"
8,"Staff Data Scientist - Analytics","$137K-$171K ","4.4","Intuit - Data
","San Diego, CA","Mountain View, CA","5001 to 10000 ",1983,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","CA"
9,"Data Scientist","$137K-$171K ","3.6","XSELL Technologies
","Chicago, IL","Chicago, IL","51 to 200 ",2014,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","IL"
10,"Data Scientist","$137K-$171K ","4.5","Novetta
","Herndon, VA","Mc Lean, VA","501 to 1000 ",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","VA"
11,"Data Scientist","$137K-$171K ","4.7","1904labs
","Saint Louis, MO","Saint Louis, MO","51 to 200 ",2016,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","MO"
12,"Data Scientist - Statistics, Early Career","$137K-$171K ","3.7","PNNL
","Richland, WA","Richland, WA","1001 to 5000 ",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","WA"
13,"Data Modeler","$137K-$171K ","3.1","Old World Industries
","Northbrook, IL","Northbrook, IL","201 to 500 ",1973,"Company - Private","Chemical Manufacturing","Manufacturing","$1 to $2 billion (USD)","IL"
